mn_code,mn_name,mn_pop,mn_no_school
160,Matzikama,66990,3231
161,Cederberg,49806,2889
162,Bergrivier,61890,3198
163,Saldanha Bay,98967,2538
164,Swartland,113640,5361
165,Witzenberg,115914,5982
166,Drakenstein,251091,7716
167,Stellenbosch,155736,4458
168,Breede Valley,166653,6654
169,Langeberg,97611,4518
170,Swellendam,35913,1590
171,Theewaterskloof,108684,4797
172,Overstrand,80391,2022
173,Cape Agulhas,32952,1122
174,Kannaland,24825,1116
175,Hessequa,52620,2169
176,Mossel Bay,89277,2514
177,George,193365,6657
178,Oudtshoorn,95991,3561
179,Bitou,49005,1218
180,Knysna,68583,1782
181,Laingsburg,8286,711
182,Prince Albert,13110,939
183,Beaufort West,49704,3618
199,City of Cape Town,3735570,80313
260,Buffalo City,754332,27834
261,Camdeboo,50955,3135
262,Blue Crane Route,35982,2586
263,Ikwezi,10557,972
264,Makana,80124,3576
265,Ndlambe,61146,4236
266,Sundays River Valley,54480,3465
267,Baviaans,17757,975
268,Kouga,98382,4230
269,Kou-Kamma,40608,1896
270,Mbhashe,254463,27990
271,Mnquma,252069,16332
272,Great Kei,39015,4854
273,Amahlathi,122577,7788
274,Ngqushwa,71964,6324
276,Nkonkobe,126948,5904
277,Nxuba,24168,1077
278,Inxuba Yethemba,65583,4791
279,Tsolwana,33291,3246
280,Inkwanca,22038,1914
281,Lukanji,190503,10014
282,Intsika Yethu,144654,11811
283,Emalahleni,119232,12663
284,Engcobo,155064,16266
285,Sakhisizwe,63423,4833
286,Elundini,137712,12594
287,Senqu,133914,11730
288,Maletswai,43755,3300
289,Gariep,33663,3306
290,Ngquza Hill,278148,28758
291,Port St Johns,155826,17637
292,Nyandeni,290130,26826
293,Mhlontlo,187749,14907
294,King Sabata Dalindyebo,451068,35445
295,Matatiele,203319,10998
296,Umzimvubu,191112,8613
297,Mbizana,281715,25833
298,Ntabankulu,123762,11151
299,Nelson Mandela Bay,1150515,32046
360,Joe Morolong,89460,11343
361,Ga-Segonyana,93507,6171
362,Gamagara,41526,3297
363,Richtersveld,11877,279
364,Nama Khoi,46965,981
365,Kamiesberg,10170,363
366,Hantam,21492,2190
367,Karoo Hoogland,12573,1611
368,Khâi-Ma,12453,393
369,Ubuntu,18603,2067
370,Umsobomvu,28368,2949
371,Emthanjeni,42249,3087
372,Kareeberg,11703,1365
373,Renosterberg,10962,1146
374,Thembelihle,15675,1587
375,Siyathemba,21537,1791
376,Siyancuma,36990,4047
377,Mier,7047,411
378,Kai !Garib,65808,4485
379,//Khara Hais,93450,5082
380,!Kheis,16566,1431
381,Tsantsabane,34968,3411
382,Kgatelopele,18648,1629
383,Sol Plaatjie,247713,13755
384,Dikgatlong,46845,5520
385,Magareng,24183,2604
386,Phokwane,63039,7323
460,Letsemeng,38610,4428
461,Kopanong,49017,4398
462,Mohokare,33990,2679
463,Naledi,24264,1224
464,Masilonyana,63252,3894
465,Tokologo,28962,3876
466,Tswelopele,47550,4317
467,Matjhabeng,406131,16182
468,Nala,81189,5031
469,Setsoto,112467,7245
470,Dihlabeng,128646,8151
471,Nketoana,60204,5160
472,Maluti a Phofung,335214,18879
473,Phumelela,47652,3696
474,Mantsopa,51024,2538
475,Moqhaka,160236,6525
477,Ngwathe,120222,7404
478,Metsimaholo,148719,6669
479,Mafube,57702,5235
499,Mangaung,746196,28611
503,Umzumbe,160734,15624
504,UMuziwabantu,96597,8817
505,Ezingoleni,52518,4302
506,Hibiscus Coast,255810,13671
514,Emnambithi/Ladysmith,237159,12720
524,Newcastle,363060,17241
525,Emadlangeni,34416,2868
526,Dannhauser,102027,5184
529,Abaqulusi,211080,20244
538,uMhlathuze,334338,17325
542,Nkandla,114261,16293
546,Maphumulo,96654,15063
560,Vulamehlo,77268,10326
561,Umdoni,78861,4911
562,uMshwathi,106284,10317
563,uMngeni,92535,4437
564,Mpofana,38103,3843
565,Impendle,33108,2802
566,The Msunduzi,617709,25362
567,Mkhambathini,63216,7287
568,Richmond,65784,6321
569,Indaka,103044,11256
570,Umtshezi,83217,8637
571,Okhahlamba,131940,12195
573,Imbabazane,112878,9723
574,Endumeni,64851,3141
575,Nqutu,165177,15231
576,Msinga,177444,34299
577,Umvoti,102969,15498
578,eDumbe,81990,8103
579,UPhongolo,127230,13629
580,Nongoma,194568,19683
581,Ulundi,188268,20313
582,Umhlabuyalingana,156696,24369
583,Jozini,186267,25170
584,The Big 5 False Bay,35310,4959
585,Hlabisa,71775,7848
586,Mtubatuba,175254,18687
587,Mfolozi,122805,10332
588,Ntambanana,74265,8226
589,uMlalazi,213555,27117
590,Mthonjaneni,47850,6279
591,Mandeni,137898,9264
592,KwaDukuza,231087,16584
593,Ndwedwe,140691,17406
594,Ingwe,100431,7686
595,Kwa Sani,12906,720
596,Greater Kokstad,65985,2175
597,Ubuhlebezwe,101610,9042
598,Umzimkhulu,180042,6906
599,eThekwini,3438828,121206
660,Moretele,186627,11871
661,Madibeng,476871,29886
662,Rustenburg,548613,26094
663,Kgetlengrivier,51069,5964
664,Moses Kotane,241893,15804
665,Ratlou,107280,17718
666,Tswaing,124026,17466
667,Mafikeng,291093,20865
668,Ditsobotla,168810,17301
669,Ramotshere Moiloa,150594,19797
670,Naledi,66777,7902
671,Mamusa,60360,9162
672,Greater Taung,177423,19680
673,Lekwa-Teemane,53241,6264
674,Kagisano/Molopo,105621,17736
675,Ventersdorp,56619,6501
676,Tlokwe City Council,162399,9276
677,City of Matlosana,397941,24135
678,Maquassi Hills,77757,11682
760,Emfuleni,720639,24042
761,Midvaal,95004,4155
762,Lesedi,99546,5412
763,Mogale City,362238,14823
764,Randfontein,148986,5205
765,Westonaria,111531,5928
766,Merafong City,197205,10344
797,Ekurhuleni,3174972,104577
798,City of Johannesburg,4430259,129042
799,City of Tshwane,2918604,107589
860,Albert Luthuli,185805,19953
861,Msukaligwa,149058,12201
862,Mkhondo,172092,18360
863,Pixley Ka Seme,83217,9474
864,Lekwa,115863,8778
865,Dipaleseng,42333,3474
866,Govan Mbeki,294264,17565
867,Victor Khanye,75339,6468
868,Emalahleni,395121,18447
869,Steve Tshwete,229692,13227
870,Emakhazeni,47094,4821
871,Thembisile,310143,34434
872,Dr JS Moroka,249354,26307
873,Thaba Chweu,98307,6777
874,Mbombela,588489,45951
875,Umjindi,67140,4560
876,Nkomazi,392562,57279
877,Bushbuckridge,540549,53523
960,Greater Giyani,243888,32286
961,Greater Letaba,212481,31116
962,Greater Tzaneen,389937,44106
963,Ba-Phalaborwa,150516,13341
964,Maruleng,94722,11010
965,Mutale,91647,9069
966,Thulamela,617478,59922
967,Musina,68337,5604
968,Makhado,515595,55047
969,Blouberg,162426,23745
970,Aganang,130794,11130
973,Molemole,108048,12384
974,Polokwane,627954,28356
976,Lepele-Nkumpi,229842,23523
977,Thabazimbi,85320,5907
978,Lephalale,115746,7455
979,Mookgopong,35661,3165
980,Modimolle,68442,5376
981,Bela-Bela,66507,4623
982,Mogalakwena,307452,28665
983,Ephraim Mogale,123759,16089
984,Elias Motsoaledi,249081,33351
985,Makhuduthamaga,274095,33612
986,Fetakgomo,93606,12654
987,Greater Tubatse,335289,29055
